order_id,product_id,quantity,unit_price,customer_id,order_date,order_total,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,feedback_id,rating,feedback_category,sentiment,feedback_date,area,registration_date,customer_segment,total_orders,avg_order_value,year,month,day,time
1961864118,642612,3,517.03,30065862,2024-07-17 08:34:01,3197.07,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57,2234710,4,Delivery,Neutral,2024-07-17,Allahabad,2024-09-02,Regular,13,749.95,2024,7,17,08:34
1549769649,378676,1,881.42,9573071,2024-05-28 13:14:29,976.55,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65,5450964,3,App Experience,Negative,2024-05-28,Thrissur,2023-11-07,New,5,958.06,2024,5,28,13:14
9185164487,741341,2,923.84,45477575,2024-09-23 13:07:12,839.05,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,13,62,482108,3,App Experience,Neutral,2024-09-23,Vellore,2024-01-05,Inactive,4,327.93,2024,9,23,13:07
9644738826,561860,1,874.78,88067569,2023-11-24 16:16:56,440.23,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90,4823104,4,App Experience,Neutral,2023-11-24,Gaya,2023-12-25,Premium,5,273.38,2023,11,24,16:16
5427684290,602241,2,976.55,83298567,2023-11-20 05:00:39,2526.68,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75,3537464,3,Delivery,Negative,2023-11-20,Asansol,2024-10-02,Premium,14,763.1,2023,11,20,05:00
3265154092,681063,1,321.28,43367112,2023-03-18 16:29:51,3161.43,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,20,91,4089724,2,Customer Service,Negative,2023-03-18,Gopalpur,2023-12-14,New,19,1861.66,2023,3,18,16:29
4898355547,56589,3,517.77,13284996,2023-04-16 18:50:37,956.4,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,16,85,230696,4,Product Quality,Positive,2023-04-16,Phagwara,2024-04-11,Regular,9,449.79,2023,4,16,18:50
6568151549,500739,2,359.98,88866835,2024-03-31 06:26:48,905.47,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,2259308,2,App Experience,Negative,2024-03-31,South Dumdum,2023-11-01,Premium,6,506.63,2024,3,31,06:26
6006693867,490939,1,80.25,24496983,2023-07-13 23:49:36,1371.17,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,12,67,7380970,3,Delivery,Negative,2023-07-14,Kamarhati,2023-12-04,Regular,17,1262.44,2023,7,13,23:49
374186990,760828,2,563.45,52215833,2023-08-09 01:17:30,1601.19,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,23,93,2257242,3,App Experience,Neutral,2023-08-09,Sirsa,2024-09-27,Regular,5,305.65,2023,8,9,01:17
4455336265,753354,3,423.56,43431724,2023-08-30 19:37:06,2362.33,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,20,52,1837573,2,Delivery,Negative,2023-08-30,Rohtak,2023-11-26,New,2,813.0,2023,8,30,19:37
3539286337,684939,1,727.95,77559557,2023-04-25 20:32:24,1463.8,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95,1119.92,35.0,365,22,50,258023,3,Delivery,Neutral,2023-04-25,Madurai,2023-08-28,New,9,601.15,2023,4,25,20:32
9171116867,500739,3,359.98,87107263,2023-10-22 11:15:33,822.63,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,3081099,4,Customer Service,Neutral,2023-10-22,Vijayawada,2024-10-02,Inactive,9,1659.56,2023,10,22,11:15
5504941865,540618,1,317.05,76512976,2024-01-28 02:39:11,2287.68,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,28,87,3158837,5,App Experience,Positive,2024-01-28,Belgaum,2024-07-27,New,5,279.89,2024,1,28,02:39
5868326481,53833,3,134.69,37556526,2024-03-15 21:07:07,1962.35,Rice,Grocery & Staples,Tella-Master,134.69,158.46,15.0,365,26,89,9465932,4,Product Quality,Neutral,2024-03-15,Farrukhabad,2024-06-14,Inactive,18,1200.18,2024,3,15,21:07
2137046916,455755,2,44.09,12059049,2024-02-03 08:50:32,3373.96,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53,8111644,4,Customer Service,Positive,2024-02-03,Nizamabad,2024-09-23,Regular,17,235.4,2024,2,3,08:50
8195544338,131937,1,287.81,26199489,2023-04-26 04:03:57,845.71,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,18,68,121425,4,Delivery,Neutral,2023-04-26,Serampore,2024-07-15,Inactive,11,479.65,2023,4,26,04:03
2889700050,798639,1,211.25,84848018,2024-04-30 16:22:26,2706.54,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25,264.06,20.0,7,12,78,8267419,4,Delivery,Neutral,2024-04-30,Alappuzha,2023-06-26,Regular,19,557.81,2024,4,30,16:22
65827885,324809,3,608.0,47577193,2023-07-27 00:13:05,1132.98,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,26,76,7168244,1,Delivery,Negative,2023-07-27,Dehri,2024-02-05,Premium,16,1578.87,2023,7,27,00:13
4656471694,679284,1,877.89,60728956,2023-12-09 08:08:08,1525.5,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,28,95,2482108,3,Customer Service,Negative,2023-12-09,Khandwa,2023-06-26,Premium,15,1764.25,2023,12,9,08:08
6625178717,952168,3,236.95,62068277,2023-07-01 04:24:22,5718.09,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",236.95,364.54,35.0,90,28,79,3769939,2,Product Quality,Negative,2023-07-01,Hosur,2024-03-03,Regular,6,1515.17,2023,7,1,04:24
7169557514,706112,2,478.79,84824280,2023-03-21 05:27:13,2970.9,Vitamins,Pharmacy,"Magar, Gara and Garg",478.79,598.49,20.0,365,12,77,9592296,2,Product Quality,Negative,2023-03-21,Ongole,2024-05-09,Inactive,17,1752.91,2023,3,21,05:27
2268306684,812607,2,416.65,66742602,2024-05-28 14:59:08,2991.57,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,11,63,1592958,5,Delivery,Positive,2024-05-28,Jalna,2023-07-01,New,14,1981.09,2024,5,28,14:59
6905293278,799952,1,922.64,97259564,2024-06-16 10:23:23,1404.68,Cheese,Dairy & Breakfast,Padmanabhan-Virk,922.64,1153.3,20.0,7,13,66,2088819,3,Delivery,Neutral,2024-06-16,Khammam,2024-02-18,Premium,6,1047.69,2024,6,16,10:23
1769493463,709916,3,33.76,3292927,2024-06-26 07:13:47,2541.32,Detergent,Household Care,Varkey LLC,33.76,45.01,25.0,365,30,88,3567003,2,App Experience,Negative,2024-06-26,Rewa,2024-01-12,New,6,1795.72,2024,6,26,07:13
5003387344,67197,3,552.2,26592009,2024-06-23 10:53:47,2475.69,Butter,Dairy & Breakfast,Shetty-Bora,552.2,690.25,20.0,7,20,79,2903160,4,Delivery,Neutral,2024-06-23,Adoni,2023-11-02,Premium,14,317.83,2024,6,23,10:53
2064484752,937542,3,97.04,89995124,2024-05-07 22:42:49,1949.92,Wheat Flour,Grocery & Staples,Khurana and Sons,97.04,114.16,15.0,365,28,93,7511717,3,Customer Service,Neutral,2024-05-07,Muzaffarpur,2023-10-29,Premium,6,995.42,2024,5,7,22:42
964822979,455755,2,44.09,88520326,2024-07-13 10:38:00,5804.23,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53,1055307,3,Product Quality,Negative,2024-07-13,Asansol,2023-11-26,Premium,14,1537.05,2024,7,13,10:38
6037899648,669378,1,212.14,22738465,2024-03-27 17:44:43,1231.03,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3,23,70,1477592,3,Product Quality,Neutral,2024-03-27,Narasaraopet,2023-07-02,Inactive,16,1903.09,2024,3,27,17:44
9347571484,112390,2,877.98,29562072,2024-11-02 17:15:15,3138.06,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",877.98,1350.74,35.0,365,23,85,7898352,3,Product Quality,Negative,2024-11-02,Hindupur,2023-08-10,New,10,1449.0,2024,11,2,17:15
3286177534,891833,1,493.19,10225164,2023-06-24 23:52:15,3612.26,Curd,Dairy & Breakfast,Mani PLC,493.19,616.49,20.0,7,11,69,8804364,3,Delivery,Neutral,2023-06-25,Dehri,2024-09-25,Inactive,20,491.07,2023,6,24,23:52
9073572548,60619,1,726.41,97111069,2023-05-02 23:13:42,1091.89,Iced Tea,Cold Drinks & Juices,Bhasin LLC,726.41,1037.73,30.0,180,10,97,1208337,4,Customer Service,Neutral,2023-05-02,North Dumdum,2024-02-16,Inactive,10,1898.27,2023,5,2,23:13
8395583761,561860,3,874.78,1989720,2024-08-04 23:35:44,410.62,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90,4382390,4,App Experience,Positive,2024-08-04,Saharanpur,2023-11-10,Inactive,6,239.76,2024,8,4,23:35
6355378227,993331,1,102.44,67092149,2023-08-11 16:52:36,5019.02,Pulses,Grocery & Staples,"Parmer, Gola and Yogi",102.44,120.52,15.0,365,28,86,4858018,4,Customer Service,Positive,2023-08-11,Davanagere,2023-12-16,Premium,1,376.48,2023,8,11,16:52
277376321,94225,3,77.11,89784343,2024-07-28 04:25:12,3694.48,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",77.11,102.81,25.0,365,13,70,2400571,4,App Experience,Positive,2024-07-28,Dibrugarh,2024-04-02,Premium,11,673.6,2024,7,28,04:25
8559748526,552496,1,508.0,45868300,2023-04-05 18:07:19,1152.09,Dish Soap,Household Care,Dhar PLC,508.0,677.33,25.0,365,17,59,3093140,4,App Experience,Neutral,2023-04-05,Ratlam,2023-08-24,Premium,7,584.9,2023,4,5,18:07
1458051433,57405,3,607.67,50760752,2024-04-26 09:14:56,1055.18,Baby Food,Baby Care,Srinivas PLC,607.67,868.1,30.0,365,21,64,9407783,4,App Experience,Neutral,2024-04-26,Maheshtala,2023-03-17,New,14,1670.47,2024,4,26,09:14
5838302640,240179,3,90.56,96795047,2023-05-12 05:46:25,3377.44,Cough Syrup,Pharmacy,Ram-Suri,90.56,113.2,20.0,365,20,56,1180902,4,App Experience,Neutral,2023-05-12,Chittoor,2024-05-03,New,15,1834.19,2023,5,12,05:46
1380971977,602241,3,976.55,16561710,2024-06-02 13:04:55,3117.74,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75,6888502,3,Product Quality,Neutral,2024-06-02,Baranagar,2023-09-16,New,12,1043.28,2024,6,2,13:04
1221099013,131937,1,287.81,35156679,2023-07-23 10:45:59,4335.11,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,18,68,8679241,4,Customer Service,Neutral,2023-07-23,Etawah,2024-01-07,Premium,8,1412.4,2023,7,23,10:45
6771166303,677542,3,212.61,87718744,2023-07-24 04:21:07,816.38,Toilet Cleaner,Household Care,Thaman-Lanka,212.61,283.48,25.0,365,10,52,7512781,3,Product Quality,Negative,2023-07-24,Bathinda,2023-09-29,Regular,6,863.84,2023,7,24,04:21
7111337755,888807,3,230.58,10524732,2023-05-06 05:52:44,1550.71,Bread,Dairy & Breakfast,Arya Group,230.58,288.23,20.0,7,13,91,5356601,4,Customer Service,Neutral,2023-05-06,Rajahmundry,2023-11-16,Regular,18,1830.92,2023,5,6,05:52
5562922993,540618,1,317.05,62416456,2023-12-06 02:04:19,2292.64,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,28,87,9043273,4,Product Quality,Neutral,2023-12-06,Medininagar,2023-09-25,Inactive,18,752.91,2023,12,6,02:04
5630957897,876139,2,415.75,69925688,2024-06-18 07:17:42,827.44,Pulses,Grocery & Staples,Cherian-Dara,415.75,489.12,15.0,365,14,83,3470106,4,Delivery,Neutral,2024-06-18,Nandyal,2024-02-25,Inactive,20,1350.67,2024,6,18,07:17
1787380558,444361,3,822.63,5140660,2023-11-08 17:24:58,2066.77,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",822.63,1028.29,20.0,365,20,71,5957700,4,App Experience,Neutral,2023-11-08,Akola,2023-08-18,Inactive,17,908.68,2023,11,8,17:24
32613017,451812,1,530.85,82594354,2023-03-17 00:20:41,2354.28,Pain Reliever,Pharmacy,"Batra, Sant and Mandal",530.85,663.56,20.0,365,29,63,8956798,5,Delivery,Positive,2023-03-17,Avadi,2024-01-04,Regular,7,321.8,2023,3,17,00:20
2039041670,287070,1,443.17,88324928,2024-11-01 09:45:47,96.33,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",443.17,521.38,15.0,365,20,93,4843776,4,Product Quality,Neutral,2024-11-01,Alappuzha,2023-03-19,Regular,13,340.65,2024,11,1,09:45
210693801,432617,3,863.18,71235336,2024-08-21 03:59:25,3561.22,Baby Wipes,Baby Care,Dora-Pillai,863.18,1233.11,30.0,365,17,97,8241448,3,Customer Service,Negative,2024-08-21,Bokaro,2024-01-30,Regular,16,248.21,2024,8,21,03:59
8120002258,131937,1,287.81,57833505,2024-01-01 00:05:08,1213.05,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,18,68,1664531,3,Delivery,Neutral,2024-01-01,Thrissur,2024-01-10,New,5,1832.55,2024,1,1,00:05
2177917034,144124,2,162.67,12402437,2024-02-08 20:03:51,3134.8,Detergent,Household Care,Lalla-Srinivasan,162.67,216.89,25.0,365,11,82,4940244,5,App Experience,Positive,2024-02-08,Rajahmundry,2024-06-29,New,14,1580.62,2024,2,8,20:03
