product_id,date,stock_received,damaged_stock,period_key,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
376447,2023-03-01,4,0,2023-03,Butter,Dairy & Breakfast,Gara and Sons,724.84,906.05,20.0,7,17,64
585299,2023-03-01,3,0,2023-03,Pet Treats,Pet Care,"Sharma, Chandra and Prashad",799.46,1229.94,35.0,365,13,50
726958,2023-03-01,3,0,2023-03,Cat Food,Pet Care,Doctor-Patla,887.48,1365.35,35.0,365,18,79
587420,2023-03-01,2,0,2023-03,Cookies,Snacks & Munchies,Raj and Sons,357.42,549.88,35.0,90,22,50
487931,2023-03-01,2,0,2023-03,Sugar,Grocery & Staples,"Bahl, Jaggi and Nath",709.08,834.21,15.0,365,27,68
894539,2023-03-01,3,0,2023-03,Dish Soap,Household Care,"Pall, Sule and Sood",445.48,593.97,25.0,365,14,93
600767,2023-03-01,2,0,2023-03,Toothpaste,Personal Care,Balan Group,722.42,1111.42,35.0,365,22,68
378230,2023-03-01,2,0,2023-03,Nuts,Snacks & Munchies,Kala-Vig,166.42,256.03,35.0,90,13,76
118820,2023-03-01,2,0,2023-03,Iced Tea,Cold Drinks & Juices,"Warrior, Ravel and Amble",12.32,17.6,30.0,180,12,61
647462,2023-03-01,3,0,2023-03,Lotion,Personal Care,"Balan, Samra and Sekhon",326.42,502.18,35.0,365,22,64
51036,2023-03-01,2,0,2023-03,Baby Food,Baby Care,Karnik PLC,931.61,1330.87,30.0,365,12,86
707935,2023-03-01,3,0,2023-03,Cat Food,Pet Care,"Anne, Mammen and Khatri",820.9,1262.92,35.0,365,30,97
444361,2023-03-01,2,0,2023-03,Pain Reliever,Pharmacy,"Prakash, Bawa and Kale",822.63,1028.29,20.0,365,20,71
848226,2023-03-01,4,0,2023-03,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59,279.45,25.0,3,10,51
89084,2023-03-01,1,0,2023-03,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",598.83,748.54,20.0,7,27,74
487065,2023-03-01,1,0,2023-03,Chips,Snacks & Munchies,Kadakia-Yadav,374.68,576.43,35.0,90,27,87
378676,2023-03-01,1,0,2023-03,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65
455755,2023-03-01,1,0,2023-03,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53
803607,2023-03-01,4,0,2023-03,Soap,Personal Care,"Kadakia, Mohan and Sathe",949.73,1461.12,35.0,365,21,98
243235,2023-03-01,1,0,2023-03,Cat Food,Pet Care,Batta Inc,109.03,167.74,35.0,365,14,71
679284,2023-03-01,1,0,2023-03,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,28,95
818990,2023-03-01,1,0,2023-03,Tomatoes,Fruits & Vegetables,Dugar Group,163.55,218.07,25.0,3,22,92
555121,2023-03-01,1,0,2023-03,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",354.91,473.21,25.0,3,30,67
305754,2023-03-01,4,0,2023-03,Frozen Vegetables,Instant & Frozen Food,Mammen-Hegde,979.99,1633.32,40.0,180,22,81
876139,2023-03-01,1,0,2023-03,Pulses,Grocery & Staples,Cherian-Dara,415.75,489.12,15.0,365,14,83
94225,2023-03-01,1,0,2023-03,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",77.11,102.81,25.0,365,13,70
820541,2023-03-01,4,0,2023-03,Toilet Cleaner,Household Care,"Borde, Peri and Upadhyay",576.22,768.29,25.0,365,19,71
753354,2023-03-01,1,0,2023-03,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,20,52
140489,2023-03-01,1,0,2023-03,Soap,Personal Care,"Biswas, Kapoor and Patel",650.2,1000.31,35.0,365,28,95
784827,2023-03-01,2,0,2023-03,Baby Wipes,Baby Care,Balakrishnan Ltd,274.25,391.79,30.0,365,26,77
970529,2023-03-01,2,0,2023-03,Diapers,Baby Care,"Kurian, Patla and Sanghvi",827.44,1182.06,30.0,365,19,84
942001,2023-03-01,1,0,2023-03,Cat Food,Pet Care,Acharya Ltd,671.55,1033.15,35.0,365,20,84
256783,2023-03-01,1,0,2023-03,Pet Treats,Pet Care,"Basu, Thakur and Rege",906.54,1394.68,35.0,365,16,98
771228,2023-03-01,1,0,2023-03,Pet Treats,Pet Care,Raja and Sons,83.18,127.97,35.0,365,25,73
847349,2023-03-01,1,0,2023-03,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25.0,3,26,69
67197,2023-03-01,1,0,2023-03,Butter,Dairy & Breakfast,Shetty-Bora,552.2,690.25,20.0,7,20,79
578097,2023-03-01,1,0,2023-03,Nuts,Snacks & Munchies,Jha Group,267.61,411.71,35.0,90,22,75
567671,2023-03-01,1,0,2023-03,Biscuits,Snacks & Munchies,Nagar LLC,418.48,643.82,35.0,90,12,90
461804,2023-03-01,1,0,2023-03,Sugar,Grocery & Staples,"Ghose, Ben and Divan",310.69,365.52,15.0,365,15,97
684939,2023-03-01,2,0,2023-03,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95,1119.92,35.0,365,22,50
52729,2023-03-01,1,0,2023-03,Cat Food,Pet Care,Saini LLC,316.02,486.18,35.0,365,25,100
913428,2023-03-01,1,0,2023-03,Pet Treats,Pet Care,Narayanan-Kumar,392.22,603.42,35.0,365,30,98
837480,2023-03-01,1,0,2023-03,Cough Syrup,Pharmacy,Edwin and Sons,217.4,271.75,20.0,365,22,82
56589,2023-03-01,1,0,2023-03,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,16,85
871592,2023-03-01,1,0,2023-03,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29,1160.39,25.0,3,25,50
818522,2023-03-01,2,0,2023-03,Cheese,Dairy & Breakfast,Hora-Roy,96.09,120.11,20.0,7,12,90
329351,2023-03-01,2,0,2023-03,Cheese,Dairy & Breakfast,"Lala, Kalita and Sathe",310.87,388.59,20.0,7,23,95
839170,2023-03-01,1,0,2023-03,Curd,Dairy & Breakfast,Shetty and Sons,481.63,602.04,20.0,7,11,59
961614,2023-03-01,1,0,2023-03,Chocolates,Snacks & Munchies,Goda Inc,227.22,349.57,35.0,90,26,99
