week_label,year,month,week,product_id,product_name,category,brand,stock_received_week,sold_qty_week,damaged_week,cum_stock,cum_sold,cum_damaged,current_inventory
2023-03 3주차,2023,3,3,4452,Baby Wipes,Baby Care,Morar-Mistry,0.0,0.0,6.0,0.0,0.0,6.0,0.0
2023-03 4주차,2023,3,4,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,4.0,6.0,0.0,10.0,6.0
2023-03 5주차,2023,3,5,4452,Baby Wipes,Baby Care,Morar-Mistry,0.0,0.0,0.0,6.0,0.0,10.0,6.0
2023-04 1주차,2023,4,1,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,3.0,2.0,9.0,3.0,12.0,6.0
2023-04 2주차,2023,4,2,4452,Baby Wipes,Baby Care,Morar-Mistry,15.0,0.0,4.0,24.0,3.0,16.0,21.0
2023-04 3주차,2023,4,3,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,4.0,27.0,3.0,20.0,24.0
2023-04 4주차,2023,4,4,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,5.0,6.0,30.0,8.0,26.0,22.0
2023-04 5주차,2023,4,5,4452,Baby Wipes,Baby Care,Morar-Mistry,0.0,0.0,2.0,30.0,8.0,28.0,22.0
2023-05 1주차,2023,5,1,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,33.0,8.0,30.0,25.0
2023-05 2주차,2023,5,2,4452,Baby Wipes,Baby Care,Morar-Mistry,12.0,0.0,2.0,45.0,8.0,32.0,37.0
2023-05 3주차,2023,5,3,4452,Baby Wipes,Baby Care,Morar-Mistry,3.0,0.0,2.0,48.0,8.0,34.0,40.0
2023-05 4주차,2023,5,4,4452,Baby Wipes,Baby Care,Morar-Mistry,9.0,0.0,2.0,57.0,8.0,36.0,49.0
2023-05 5주차,2023,5,5,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,0.0,0.0,63.0,8.0,36.0,55.0
2023-06 1주차,2023,6,1,4452,Baby Wipes,Baby Care,Morar-Mistry,6.0,2.0,4.0,69.0,10.0,40.0,59.0
2023-06 2주차,2023,6,2,4452,Baby Wipes,Baby Care,Morar-Mistry,15.0,1.0,6.0,84.0,11.0,46.0,73.0
2023-06 3주차,2023,6,3,4452,Baby Wipes,Baby Care,Morar-Mistry,15.0,0.0,4.0,99.0,11.0,50.0,88.0
